timestamp,status,confidence,perclos,ear,mar,yawn,head_pitch,head_yaw,acc_x,acc_y,acc_z,temp,hr,spo2,pred_alert,pred_drowsy,pred_fatigued
1766734156.2197576,ALERT,0.99,0.0,0.311,0.002,0.0,-6.67,21.13,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734156.590866,ALERT,0.99,0.0,0.389,0.003,0.0,87.11,-49.33,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734157.0371296,ALERT,0.99,0.0,0.389,0.003,0.0,87.11,-49.33,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734157.67104,ALERT,0.99,0.0,0.345,0.002,0.0,-5.04,19.98,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734158.5332296,ALERT,0.99,0.0,0.357,0.004,0.0,-5.95,19.79,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734159.2170088,ALERT,0.99,0.0,0.326,0.004,0.0,-6.53,20.27,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734159.780985,ALERT,0.99,0.0,0.363,0.004,0.0,-6.42,20.12,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734160.2743661,ALERT,0.99,0.0,0.363,0.004,0.0,-6.35,19.6,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734160.7128935,ALERT,0.99,0.0,0.343,0.002,0.0,-6.4,19.69,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734161.5202508,ALERT,0.99,0.0,0.341,0.006,0.0,-7.56,19.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734161.879292,ALERT,0.99,0.0,0.341,0.006,0.0,-7.56,19.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734162.2245877,ALERT,0.99,0.0,0.36,0.002,0.0,-5.71,19.26,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734162.9750981,ALERT,0.99,0.0,0.315,0.003,0.0,-5.58,28.52,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734163.273258,ALERT,0.99,0.0,0.315,0.003,0.0,-5.49,21.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734163.7181306,ALERT,0.99,0.0,0.35,0.002,0.0,-5.49,21.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734164.057099,ALERT,0.99,0.0,0.35,0.002,0.0,-4.72,17.24,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734164.5429354,ALERT,0.99,0.0,0.305,0.002,0.0,-4.72,17.24,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734165.1427572,ALERT,0.99,0.0,0.305,0.002,0.0,-7.15,27.11,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734166.025111,ALERT,0.99,0.0,0.339,0.003,0.0,10.96,5.21,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734166.7153368,ALERT,0.99,0.0,0.321,0.003,0.0,-5.88,20.1,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734167.2429235,ALERT,0.99,0.0,0.309,0.003,0.0,-6.36,20.41,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734167.5270514,ALERT,0.99,0.0,0.309,0.003,0.0,-6.36,20.41,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734168.2130816,ALERT,0.99,0.0,0.298,0.006,0.0,-6.19,20.6,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734169.0330966,ALERT,0.99,0.0,0.361,0.004,0.0,-6.24,19.39,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734169.3580194,ALERT,0.99,0.0,0.301,0.003,0.0,-6.24,19.39,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734169.7371144,ALERT,0.99,0.0,0.301,0.003,0.0,-7.49,26.11,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734170.4544845,ALERT,0.99,0.0,0.351,0.009,0.0,-6.64,15.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734170.78087,ALERT,0.99,0.0,0.351,0.009,0.0,-6.64,15.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734171.2360766,ALERT,0.99,0.0,0.338,0.002,0.0,-5.94,15.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734171.5476556,ALERT,0.99,0.0,0.338,0.002,0.0,-5.94,15.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734172.043979,ALERT,0.99,0.0,0.35,0.003,0.0,-5.73,18.24,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734172.6480331,ALERT,0.99,0.0,0.339,0.004,0.0,5.26,-16.82,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734173.5218494,ALERT,0.99,0.0,0.379,0.001,0.0,-41.24,-87.01,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734174.2335489,ALERT,0.99,0.0,0.325,0.001,0.0,-6.33,25.42,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734174.7741323,ALERT,0.99,0.0,0.325,0.001,0.0,-6.33,25.42,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734175.2806764,ALERT,0.99,0.0,0.331,0.002,0.0,-4.93,24.6,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734175.7324011,ALERT,0.99,0.0,0.344,0.006,0.0,-4.93,24.6,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734176.5433412,ALERT,0.99,0.0,0.338,0.005,0.0,-5.12,16.56,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734176.869528,ALERT,0.99,0.0,0.338,0.005,0.0,-6.43,18.26,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734177.2153,ALERT,0.99,0.0,0.338,0.005,0.0,-6.43,18.26,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734177.9514441,ALERT,0.99,0.0,0.334,0.004,0.0,-6.2,16.8,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734178.2956684,ALERT,0.99,0.0,0.355,0.004,0.0,-5.45,19.53,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734178.7210984,ALERT,0.99,0.0,0.355,0.004,0.0,-5.45,19.53,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734179.053343,ALERT,0.99,0.0,0.358,0.001,0.0,-5.11,18.65,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734179.533421,ALERT,0.99,0.0,0.358,0.001,0.0,-5.11,18.65,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734180.1371453,ALERT,0.99,0.0,0.345,0.004,0.0,-6.47,17.49,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734181.01945,ALERT,0.99,0.0,0.319,0.002,0.0,-5.35,23.52,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734181.711441,ALERT,0.99,33.3,0.118,0.008,0.0,5.29,-16.78,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734182.2321825,ALERT,0.99,66.7,0.038,0.008,0.0,-8.69,14.34,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734182.5296557,ALERT,0.99,66.7,0.038,0.008,0.0,-8.69,14.34,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734183.2212288,ALERT,0.99,100.0,0.042,0.003,0.0,-7.35,15.14,0,0,0,0.0,0.0,0,0.992,0.007,0.0
